thisRow.t,notes,expStart_unix,expStart_mono,trail.started,routeStart_unix,routeStart_mono,RouteFour.started,key_resp.started,key_resp.stopped,SpanishRepeat01_noPedal.started,SpanishRepeat01_noPedal.stopped,bikebuddy_SlowRepeat01.started,bikebuddy_SlowRepeat01.stopped,bikebuddy_FastRepeat01.started,bikebuddy_FastRepeat01.stopped,RouteFour.stopped,trail.stopped,key_resp.keys,routeEnd_unix,routeEnd_mono,expEnd_unix,expEnd_mono,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1697552992.2394903,584598.406,0.04087320005055517,1697552992.28049,584598.437,0.07284320006147027,0.07284320006147027,0.07284320006147027,72.00622960005421,84.0205804000143,131.0039862000849,142.00393560004886,150.0038214001106,154.00383470009547,1753.2858869000338,1753.165805100114,None,,,,,P008,004,2023-10-17_10h29.36.751,routeFourExP,2023.2.1,60.444362811799266,2023-10-17 10h29.52.280489 -0400,
,,,,,,,,,,,,,,,,,,,1697554745.5329657,586351.687,1697554745.5329657,586351.687,,,,,,,,
