thisRow.t,notes,expStart_unix,expStart_mono,trail.started,routeStart_unix,routeStart_mono,RouteOne.started,key_resp.started,key_resp.stopped,SpanishRepeat01_noPedal.started,SpanishRepeat01_noPedal.stopped,bikebuddy_SlowRepeat01.started,bikebuddy_SlowRepeat01.stopped,bikebuddy_FastRepeat01.started,bikebuddy_FastRepeat01.stopped,RouteOne.stopped,trail.stopped,key_resp.keys,routeEnd_unix,routeEnd_mono,expEnd_unix,expEnd_mono,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1696350094.3137186,683458.265,0.04073849995620549,1696350094.3547182,683458.312,0.06530149991158396,0.06530149991158396,0.06530149991158396,72.01540679996833,84.01517179992516,131.01655299996492,142.0326832999708,150.01555869996082,154.015536999912,2007.2830620999448,2007.164620699943,None,,,,,P006,001,2023-10-03_12h21.21.333,routeOneExP,2023.2.1,59.999016036583676,2023-10-03 12h21.34.354718 -0400,
,,,,,,,,,,,,,,,,,,,1696352101.5977318,685465.546,1696352101.5977318,685465.546,,,,,,,,
