thisRow.t,notes,expStart_unix,expStart_mono,trail.started,routeStart_unix,routeStart_mono,RouteThree.started,key_resp.started,key_resp.stopped,SpanishRepeat01_noPedal.started,SpanishRepeat01_noPedal.stopped,bikebuddy_SlowRepeat01.started,bikebuddy_SlowRepeat01.stopped,bikebuddy_FastRepeat01.started,bikebuddy_FastRepeat01.stopped,RouteThree.stopped,trail.stopped,key_resp.keys,routeEnd_unix,routeEnd_mono,expEnd_unix,expEnd_mono,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1695157537.8135319,6205.328,0.044584999999642605,1695157537.8584313,6205.375,0.066595000000234,0.066595000000234,0.066595000000234,71.99953430000005,83.99967930000003,130.99965319999956,141.9995917999995,149.9999127000001,153.9998943999999,1727.3016685000002,1727.1659768999998,None,,,,,P003,003,2023-09-19_17h05.21.792,routeThreeExP,2023.2.1,59.962175859184505,2023-09-19 17h05.37.858431 -0400,
,,,,,,,,,,,,,,,,,,,1695159265.113393,7932.625,1695159265.113393,7932.625,,,,,,,,
