thisRow.t,notes,expStart_unix,expStart_mono,trail.started,routeStart_unix,routeStart_mono,RouteThree.started,key_resp.started,key_resp.stopped,SpanishRepeat01_noPedal.started,SpanishRepeat01_noPedal.stopped,bikebuddy_SlowRepeat01.started,bikebuddy_SlowRepeat01.stopped,bikebuddy_FastRepeat01.started,bikebuddy_FastRepeat01.stopped,RouteThree.stopped,trail.stopped,key_resp.keys,routeEnd_unix,routeEnd_mono,expEnd_unix,expEnd_mono,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1697201176.7815602,232778.453,0.04224959999555722,1697201176.8245602,232778.484,0.0806565000093542,0.0806565000093542,0.0806565000093542,72.0120450000104,84.01341489999322,131.01202140000532,142.0120246000006,150.01199930001167,154.01206219999585,1727.3114829999977,1727.1821785999928,None,,,,,S005,003,2023-10-13_08h45.54.607,routeThreeExP,2023.2.1,59.911414983811746,2023-10-13 08h46.16.824560 -0400,
,,,,,,,,,,,,,,,,,,,1697202904.085219,234505.75,1697202904.085219,234505.75,,,,,,,,
